Date,UlsterBank,NatwestSavings,MoneyboxCashISA,MoneyboxS&SISA,Marcus,Barclaycard,NatwestCredit
2024-01-31,7029.6,1065.8,,,11.6,,3919.29
2024-02-29,9265.03,1221.03,,,11.64,,3919.29
2024-03-31,10626.87,1376.75,,,11.68,,3919.29
2024-04-30,5530.0,1533.92,4000.0,,11.73,,3880.09
2024-05-31,5530.0,1691.21,5033.57,104.46,11.78,882.03,2926.5
2024-06-30,5530.0,1841.21,5547.13,202.91,11.83,1992.34,2576.24
2024-07-31,,,,,,,
2024-08-31,,,,,,,
2024-09-30,,,,,,,
2024-10-31,,,,,,,
2024-11-30,,,,,,,
2024-12-31,,,,,,,
